"", "case","response","order","id","age","male","edu","action","intention","contact","story","action2"
"1","cfaqu",4,2,"96;434",14,0,"Middle School",0,0,1,"aqu",1
"26","ilpon",4,11,"96;434",14,0,"Middle School",0,1,0,"pon",0
"27","ilsha",4,21,"96;434",14,0,"Middle School",0,1,0,"sha",0
"28","ilshi",3,26,"96;434",14,0,"Middle School",0,1,0,"shi",0
"29","ilswi",4,24,"96;434",14,0,"Middle School",0,1,0,"swi",0
"30","nfrub",4,7,"96;434",14,0,"Middle School",1,0,0,"rub",1
"31","cfaqu",4,31,"96;445",53,1,"Bachelor's Degree",0,0,1,"aqu",1
"32","cfbur",2,2,"96;445",53,1,"Bachelor's Degree",0,0,1,"bur",1
"33","cfrub",4,17,"96;445",53,1,"Bachelor's Degree",0,0,1,"rub",1
"34","cibox",1,1,"96;445",53,1,"Bachelor's Degree",0,1,1,"box",1
"35","cibur",1,29,"96;445",53,1,"Bachelor's Degree",0,1,1,"bur",1
"36","cispe",1,24,"96;445",53,1,"Bachelor's Degree",0,1,1,"spe",1
"37","fkaqu",7,4,"96;445",53,1,"Bachelor's Degree",1,0,0,"aqu",1
"38","fkboa",4,21,"96;445",53,1,"Bachelor's Degree",1,0,0,"boa",1
"39","fkbox",7,10,"96;445",53,1,"Bachelor's Degree",1,0,0,"box",1
"40","fkbur",7,11,"96;445",53,1,"Bachelor's Degree",1,0,0,"bur",1
"41","fkcar",1,6,"96;445",53,1,"Bachelor's Degree",1,0,0,"car",1
"42","fkspe",1,14,"96;445",53,1,"Bachelor's Degree",1,0,0,"spe",1
"43","fkswi",1,19,"96;445",53,1,"Bachelor's Degree",1,0,0,"swi",1
"44","flboa",1,30,"96;445",53,1,"Bachelor's Degree",0,0,0,"boa",0
"45","flcar",7,15,"96;445",53,1,"Bachelor's Degree",0,0,0,"car",0
"46","flche",1,18,"96;445",53,1,"Bachelor's Degree",0,0,0,"che",0
"47","flsha",1,3,"96;445",53,1,"Bachelor's Degree",0,0,0,"sha",0
"48","flswi",4,28,"96;445",53,1,"Bachelor's Degree",0,0,0,"swi",0
"49","ikbox",1,32,"96;445",53,1,"Bachelor's Degree",1,1,0,"box",1
"50","ikbur",1,20,"96;445",53,1,"Bachelor's Degree",1,1,0,"bur",1
"51","ikpon",1,13,"96;445",53,1,"Bachelor's Degree",1,1,0,"pon",1
"52","ikshi",7,16,"96;445",53,1,"Bachelor's Degree",1,1,0,"shi",1
"53","ikspe",2,5,"96;445",53,1,"Bachelor's Degree",1,1,0,"spe",1
"54","ilbox",7,23,"96;445",53,1,"Bachelor's Degree",0,1,0,"box",0
"55","ilche",1,27,"96;445",53,1,"Bachelor's Degree",0,1,0,"che",0
"56","ilpon",2,22,"96;445",53,1,"Bachelor's Degree",0,1,0,"pon",0
"57","ilsha",7,12,"96;445",53,1,"Bachelor's Degree",0,1,0,"sha",0
"58","ilshi",1,7,"96;445",53,1,"Bachelor's Degree",0,1,0,"shi",0
"59","ilswi",7,9,"96;445",53,1,"Bachelor's Degree",0,1,0,"swi",0
"60","nfrub",4,26,"96;445",53,1,"Bachelor's Degree",1,0,0,"rub",1
"61","cfaqu",1,20,"96;451",57,1,"Some College",0,0,1,"aqu",1
"62","cfbur",1,32,"96;451",57,1,"Some College",0,0,1,"bur",1
"63","cfrub",1,7,"96;451",57,1,"Some College",0,0,1,"rub",1
"64","cibox",1,12,"96;451",57,1,"Some College",0,1,1,"box",1
"65","cibur",1,23,"96;451",57,1,"Some College",0,1,1,"bur",1
"66","cispe",1,27,"96;451",57,1,"Some College",0,1,1,"spe",1
"67","fkaqu",1,29,"96;451",57,1,"Some College",1,0,0,"aqu",1
"68","fkboa",1,11,"96;451",57,1,"Some College",1,0,0,"boa",1
"69","fkbox",1,22,"96;451",57,1,"Some College",1,0,0,"box",1
"70","fkbur",1,14,"96;451",57,1,"Some College",1,0,0,"bur",1
"71","fkcar",1,30,"96;451",57,1,"Some College",1,0,0,"car",1
"72","fkspe",1,9,"96;451",57,1,"Some College",1,0,0,"spe",1
"73","fkswi",1,25,"96;451",57,1,"Some College",1,0,0,"swi",1
"74","flboa",4,2,"96;451",57,1,"Some College",0,0,0,"boa",0
"75","flcar",4,21,"96;451",57,1,"Some College",0,0,0,"car",0
"76","flche",7,4,"96;451",57,1,"Some College",0,0,0,"che",0
"77","flsha",4,28,"96;451",57,1,"Some College",0,0,0,"sha",0
"78","flswi",4,6,"96;451",57,1,"Some College",0,0,0,"swi",0
"79","ikbox",1,3,"96;451",57,1,"Some College",1,1,0,"box",1
"80","ikbur",1,5,"96;451",57,1,"Some College",1,1,0,"bur",1
"81","ikpon",1,1,"96;451",57,1,"Some College",1,1,0,"pon",1
"82","ikshi",1,17,"96;451",57,1,"Some College",1,1,0,"shi",1
"83","ikspe",1,19,"96;451",57,1,"Some College",1,1,0,"spe",1
"84","ilbox",7,31,"96;451",57,1,"Some College",0,1,0,"box",0
"85","ilche",7,13,"96;451",57,1,"Some College",0,1,0,"che",0
"86","ilpon",4,10,"96;451",57,1,"Some College",0,1,0,"pon",0
"87","ilsha",1,18,"96;451",57,1,"Some College",0,1,0,"sha",0
"88","ilshi",4,26,"96;451",57,1,"Some College",0,1,0,"shi",0
"89","ilswi",4,15,"96;451",57,1,"Some College",0,1,0,"swi",0
"90","nfrub",1,16,"96;451",57,1,"Some College",1,0,0,"rub",1
"91","cfaqu",1,2,"96;456",63,1,"Bachelor's Degree",0,0,1,"aqu",1
"92","cfbur",1,31,"96;456",63,1,"Bachelor's Degree",0,0,1,"bur",1
"93","cfrub",1,16,"96;456",63,1,"Bachelor's Degree",0,0,1,"rub",1
"94","cibox",1,32,"96;456",63,1,"Bachelor's Degree",0,1,1,"box",1
"95","cibur",1,4,"96;456",63,1,"Bachelor's Degree",0,1,1,"bur",1
"96","cispe",1,9,"96;456",63,1,"Bachelor's Degree",0,1,1,"spe",1
"97","fkaqu",1,29,"96;456",63,1,"Bachelor's Degree",1,0,0,"aqu",1
"98","fkboa",1,12,"96;456",63,1,"Bachelor's Degree",1,0,0,"boa",1
"99","fkbox",4,23,"96;456",63,1,"Bachelor's Degree",1,0,0,"box",1
"100","fkbur",4,22,"96;456",63,1,"Bachelor's Degree",1,0,0,"bur",1
"101","fkcar",7,27,"96;456",63,1,"Bachelor's Degree",1,0,0,"car",1
"102","fkspe",1,19,"96;456",63,1,"Bachelor's Degree",1,0,0,"spe",1
"103","fkswi",4,14,"96;456",63,1,"Bachelor's Degree",1,0,0,"swi",1
"104","flboa",7,3,"96;456",63,1,"Bachelor's Degree",0,0,0,"boa",0
"105","flcar",7,18,"96;456",63,1,"Bachelor's Degree",0,0,0,"car",0
"106","flche",7,15,"96;456",63,1,"Bachelor's Degree",0,0,0,"che",0
"107","flsha",7,30,"96;456",63,1,"Bachelor's Degree",0,0,0,"sha",0
"108","flswi",7,5,"96;456",63,1,"Bachelor's Degree",0,0,0,"swi",0
"109","ikbox",1,1,"96;456",63,1,"Bachelor's Degree",1,1,0,"box",1
"110","ikbur",1,13,"96;456",63,1,"Bachelor's Degree",1,1,0,"bur",1
"111","ikpon",1,20,"96;456",63,1,"Bachelor's Degree",1,1,0,"pon",1
"112","ikshi",4,17,"96;456",63,1,"Bachelor's Degree",1,1,0,"shi",1
"113","ikspe",1,28,"96;456",63,1,"Bachelor's Degree",1,1,0,"spe",1
"114","ilbox",7,10,"96;456",63,1,"Bachelor's Degree",0,1,0,"box",0
"115","ilche",7,6,"96;456",63,1,"Bachelor's Degree",0,1,0,"che",0
"116","ilpon",7,11,"96;456",63,1,"Bachelor's Degree",0,1,0,"pon",0
"117","ilsha",4,21,"96;456",63,1,"Bachelor's Degree",0,1,0,"sha",0
"118","ilshi",7,26,"96;456",63,1,"Bachelor's Degree",0,1,0,"shi",0
"119","ilswi",7,24,"96;456",63,1,"Bachelor's Degree",0,1,0,"swi",0
"120","nfrub",7,7,"96;456",63,1,"Bachelor's Degree",1,0,0,"rub",1
"121","cfaqu",4,31,"96;458",39,0,"Master's Degree",0,0,1,"aqu",1
"122","cfbur",1,2,"96;458",39,0,"Master's Degree",0,0,1,"bur",1
"123","cfrub",1,17,"96;458",39,0,"Master's Degree",0,0,1,"rub",1
"124","cibox",1,1,"96;458",39,0,"Master's Degree",0,1,1,"box",1
"125","cibur",1,29,"96;458",39,0,"Master's Degree",0,1,1,"bur",1
"126","cispe",1,24,"96;458",39,0,"Master's Degree",0,1,1,"spe",1
"127","fkaqu",4,4,"96;458",39,0,"Master's Degree",1,0,0,"aqu",1
"128","fkboa",1,21,"96;458",39,0,"Master's Degree",1,0,0,"boa",1
"129","fkbox",1,10,"96;458",39,0,"Master's Degree",1,0,0,"box",1
"130","fkbur",1,11,"96;458",39,0,"Master's Degree",1,0,0,"bur",1
"131","fkcar",1,6,"96;458",39,0,"Master's Degree",1,0,0,"car",1
"132","fkspe",1,14,"96;458",39,0,"Master's Degree",1,0,0,"spe",1
"133","fkswi",1,19,"96;458",39,0,"Master's Degree",1,0,0,"swi",1
"134","flboa",4,30,"96;458",39,0,"Master's Degree",0,0,0,"boa",0
"135","flcar",7,15,"96;458",39,0,"Master's Degree",0,0,0,"car",0
"136","flche",4,18,"96;458",39,0,"Master's Degree",0,0,0,"che",0
"137","flsha",4,3,"96;458",39,0,"Master's Degree",0,0,0,"sha",0
"138","flswi",1,28,"96;458",39,0,"Master's Degree",0,0,0,"swi",0
"139","ikbox",1,32,"96;458",39,0,"Master's Degree",1,1,0,"box",1
"140","ikbur",1,20,"96;458",39,0,"Master's Degree",1,1,0,"bur",1
"141","ikpon",1,13,"96;458",39,0,"Master's Degree",1,1,0,"pon",1
"142","ikshi",1,16,"96;458",39,0,"Master's Degree",1,1,0,"shi",1
"143","ikspe",1,5,"96;458",39,0,"Master's Degree",1,1,0,"spe",1
"144","ilbox",1,23,"96;458",39,0,"Master's Degree",0,1,0,"box",0
"145","ilche",4,27,"96;458",39,0,"Master's Degree",0,1,0,"che",0
"146","ilpon",1,22,"96;458",39,0,"Master's Degree",0,1,0,"pon",0
"147","ilsha",1,12,"96;458",39,0,"Master's Degree",0,1,0,"sha",0
"148","ilshi",4,7,"96;458",39,0,"Master's Degree",0,1,0,"shi",0
"149","ilswi",1,9,"96;458",39,0,"Master's Degree",0,1,0,"swi",0
"150","nfrub",1,26,"96;458",39,0,"Master's Degree",1,0,0,"rub",1
"151","cfaqu",6,2,"96;466",38,0,"Some College",0,0,1,"aqu",1
"152","cfbur",5,31,"96;466",38,0,"Some College",0,0,1,"bur",1
"153","cfrub",6,16,"96;466",38,0,"Some College",0,0,1,"rub",1
"154","cibox",2,32,"96;466",38,0,"Some College",0,1,1,"box",1
"155","cibur",6,4,"96;466",38,0,"Some College",0,1,1,"bur",1
"156","cispe",5,9,"96;466",38,0,"Some College",0,1,1,"spe",1
"157","fkaqu",6,29,"96;466",38,0,"Some College",1,0,0,"aqu",1
"158","fkboa",5,12,"96;466",38,0,"Some College",1,0,0,"boa",1
"159","fkbox",5,23,"96;466",38,0,"Some College",1,0,0,"box",1
"160","fkbur",5,22,"96;466",38,0,"Some College",1,0,0,"bur",1
"161","fkcar",4,27,"96;466",38,0,"Some College",1,0,0,"car",1
"162","fkspe",6,19,"96;466",38,0,"Some College",1,0,0,"spe",1
"163","fkswi",5,14,"96;466",38,0,"Some College",1,0,0,"swi",1
"164","flboa",5,3,"96;466",38,0,"Some College",0,0,0,"boa",0
"165","flcar",6,18,"96;466",38,0,"Some College",0,0,0,"car",0
"166","flche",6,15,"96;466",38,0,"Some College",0,0,0,"che",0
"167","flsha",3,30,"96;466",38,0,"Some College",0,0,0,"sha",0
"168","flswi",5,5,"96;466",38,0,"Some College",0,0,0,"swi",0
"169","ikbox",5,1,"96;466",38,0,"Some College",1,1,0,"box",1
"170","ikbur",2,13,"96;466",38,0,"Some College",1,1,0,"bur",1
"171","ikpon",4,20,"96;466",38,0,"Some College",1,1,0,"pon",1
"172","ikshi",2,17,"96;466",38,0,"Some College",1,1,0,"shi",1
"173","ikspe",4,28,"96;466",38,0,"Some College",1,1,0,"spe",1
"174","ilbox",5,10,"96;466",38,0,"Some College",0,1,0,"box",0
"175","ilche",6,6,"96;466",38,0,"Some College",0,1,0,"che",0
"176","ilpon",2,11,"96;466",38,0,"Some College",0,1,0,"pon",0
"177","ilsha",5,21,"96;466",38,0,"Some College",0,1,0,"sha",0
"178","ilshi",4,26,"96;466",38,0,"Some College",0,1,0,"shi",0
"179","ilswi",6,24,"96;466",38,0,"Some College",0,1,0,"swi",0
"180","nfrub",6,7,"96;466",38,0,"Some College",1,0,0,"rub",1
"181","cfaqu",7,13,"96;467",46,0,"High School Graduate",0,0,1,"aqu",1
"182","cfbur",4,1,"96;467",46,0,"High School Graduate",0,0,1,"bur",1
"183","cfrub",3,26,"96;467",46,0,"High School Graduate",0,0,1,"rub",1
"184","cibox",2,21,"96;467",46,0,"High School Graduate",0,1,1,"box",1
"185","cibur",4,10,"96;467",46,0,"High School Graduate",0,1,1,"bur",1
"186","cispe",2,6,"96;467",46,0,"High School Graduate",0,1,1,"spe",1
"187","fkaqu",6,4,"96;467",46,0,"High School Graduate",1,0,0,"aqu",1
"188","fkboa",3,22,"96;467",46,0,"High School Graduate",1,0,0,"boa",1
"189","fkbox",4,11,"96;467",46,0,"High School Graduate",1,0,0,"box",1
"190","fkbur",4,19,"96;467",46,0,"High School Graduate",1,0,0,"bur",1
"191","fkcar",2,3,"96;467",46,0,"High School Graduate",1,0,0,"car",1
"192","fkspe",2,24,"96;467",46,0,"High School Graduate",1,0,0,"spe",1
"193","fkswi",4,8,"96;467",46,0,"High School Graduate",1,0,0,"swi",1
"194","flboa",4,31,"96;467",46,0,"High School Graduate",0,0,0,"boa",0
"195","flcar",4,12,"96;467",46,0,"High School Graduate",0,0,0,"car",0
"196","flche",5,29,"96;467",46,0,"High School Graduate",0,0,0,"che",0
"197","flsha",4,5,"96;467",46,0,"High School Graduate",0,0,0,"sha",0
"198","flswi",4,27,"96;467",46,0,"High School Graduate",0,0,0,"swi",0
"199","ikbox",4,30,"96;467",46,0,"High School Graduate",1,1,0,"box",1
"200","ikbur",4,28,"96;467",46,0,"High School Graduate",1,1,0,"bur",1
"201","ikpon",3,32,"96;467",46,0,"High School Graduate",1,1,0,"pon",1
"202","ikshi",7,16,"96;467",46,0,"High School Graduate",1,1,0,"shi",1
"203","ikspe",2,14,"96;467",46,0,"High School Graduate",1,1,0,"spe",1
"204","ilbox",4,2,"96;467",46,0,"High School Graduate",0,1,0,"box",0
"205","ilche",4,20,"96;467",46,0,"High School Graduate",0,1,0,"che",0
"206","ilpon",4,23,"96;467",46,0,"High School Graduate",0,1,0,"pon",0
"207","ilsha",5,15,"96;467",46,0,"High School Graduate",0,1,0,"sha",0
"208","ilshi",7,7,"96;467",46,0,"High School Graduate",0,1,0,"shi",0
"209","ilswi",4,18,"96;467",46,0,"High School Graduate",0,1,0,"swi",0
"210","nfrub",4,17,"96;467",46,0,"High School Graduate",1,0,0,"rub",1
"211","cfaqu",7,2,"96;474",52,1,"Bachelor's Degree",0,0,1,"aqu",1
"212","cfbur",7,31,"96;474",52,1,"Bachelor's Degree",0,0,1,"bur",1
"213","cfrub",7,16,"96;474",52,1,"Bachelor's Degree",0,0,1,"rub",1
"214","cibox",1,32,"96;474",52,1,"Bachelor's Degree",0,1,1,"box",1
"215","cibur",4,4,"96;474",52,1,"Bachelor's Degree",0,1,1,"bur",1
"216","cispe",1,9,"96;474",52,1,"Bachelor's Degree",0,1,1,"spe",1
"217","fkaqu",7,29,"96;474",52,1,"Bachelor's Degree",1,0,0,"aqu",1
"218","fkboa",7,12,"96;474",52,1,"Bachelor's Degree",1,0,0,"boa",1
"219","fkbox",7,23,"96;474",52,1,"Bachelor's Degree",1,0,0,"box",1
"220","fkbur",7,22,"96;474",52,1,"Bachelor's Degree",1,0,0,"bur",1
"221","fkcar",7,27,"96;474",52,1,"Bachelor's Degree",1,0,0,"car",1
"222","fkspe",7,19,"96;474",52,1,"Bachelor's Degree",1,0,0,"spe",1
"223","fkswi",7,14,"96;474",52,1,"Bachelor's Degree",1,0,0,"swi",1
"224","flboa",7,3,"96;474",52,1,"Bachelor's Degree",0,0,0,"boa",0
"225","flcar",7,18,"96;474",52,1,"Bachelor's Degree",0,0,0,"car",0
"226","flche",7,15,"96;474",52,1,"Bachelor's Degree",0,0,0,"che",0
"227","flsha",7,30,"96;474",52,1,"Bachelor's Degree",0,0,0,"sha",0
"228","flswi",7,5,"96;474",52,1,"Bachelor's Degree",0,0,0,"swi",0
"229","ikbox",7,1,"96;474",52,1,"Bachelor's Degree",1,1,0,"box",1
"230","ikbur",7,13,"96;474",52,1,"Bachelor's Degree",1,1,0,"bur",1
"231","ikpon",1,20,"96;474",52,1,"Bachelor's Degree",1,1,0,"pon",1
"232","ikshi",7,17,"96;474",52,1,"Bachelor's Degree",1,1,0,"shi",1
"233","ikspe",7,28,"96;474",52,1,"Bachelor's Degree",1,1,0,"spe",1
"234","ilbox",1,10,"96;474",52,1,"Bachelor's Degree",0,1,0,"box",0
"235","ilche",7,6,"96;474",52,1,"Bachelor's Degree",0,1,0,"che",0
"236","ilpon",7,11,"96;474",52,1,"Bachelor's Degree",0,1,0,"pon",0
"237","ilsha",7,21,"96;474",52,1,"Bachelor's Degree",0,1,0,"sha",0
"238","ilshi",7,26,"96;474",52,1,"Bachelor's Degree",0,1,0,"shi",0
"239","ilswi",7,24,"96;474",52,1,"Bachelor's Degree",0,1,0,"swi",0
"240","nfrub",7,7,"96;474",52,1,"Bachelor's Degree",1,0,0,"rub",1
"241","cfaqu",5,20,"96;480",32,1,"Master's Degree",0,0,1,"aqu",1
"242","cfbur",4,32,"96;480",32,1,"Master's Degree",0,0,1,"bur",1
"243","cfrub",3,7,"96;480",32,1,"Master's Degree",0,0,1,"rub",1
"244","cibox",2,12,"96;480",32,1,"Master's Degree",0,1,1,"box",1
"245","cibur",3,23,"96;480",32,1,"Master's Degree",0,1,1,"bur",1
"246","cispe",2,27,"96;480",32,1,"Master's Degree",0,1,1,"spe",1
"247","fkaqu",4,29,"96;480",32,1,"Master's Degree",1,0,0,"aqu",1
"248","fkboa",4,11,"96;480",32,1,"Master's Degree",1,0,0,"boa",1
"249","fkbox",3,22,"96;480",32,1,"Master's Degree",1,0,0,"box",1
"250","fkbur",5,14,"96;480",32,1,"Master's Degree",1,0,0,"bur",1
"251","fkcar",3,30,"96;480",32,1,"Master's Degree",1,0,0,"car",1
"252","fkspe",2,9,"96;480",32,1,"Master's Degree",1,0,0,"spe",1
"253","fkswi",3,25,"96;480",32,1,"Master's Degree",1,0,0,"swi",1
"254","flboa",5,2,"96;480",32,1,"Master's Degree",0,0,0,"boa",0
"255","flcar",6,21,"96;480",32,1,"Master's Degree",0,0,0,"car",0
"256","flche",2,4,"96;480",32,1,"Master's Degree",0,0,0,"che",0
"257","flsha",3,28,"96;480",32,1,"Master's Degree",0,0,0,"sha",0
"258","flswi",4,6,"96;480",32,1,"Master's Degree",0,0,0,"swi",0
"259","ikbox",5,3,"96;480",32,1,"Master's Degree",1,1,0,"box",1
"260","ikbur",6,5,"96;480",32,1,"Master's Degree",1,1,0,"bur",1
"261","ikpon",2,1,"96;480",32,1,"Master's Degree",1,1,0,"pon",1
"262","ikshi",3,17,"96;480",32,1,"Master's Degree",1,1,0,"shi",1
"263","ikspe",2,19,"96;480",32,1,"Master's Degree",1,1,0,"spe",1
"264","ilbox",4,31,"96;480",32,1,"Master's Degree",0,1,0,"box",0
"265","ilche",5,13,"96;480",32,1,"Master's Degree",0,1,0,"che",0
"266","ilpon",3,10,"96;480",32,1,"Master's Degree",0,1,0,"pon",0
"267","ilsha",4,18,"96;480",32,1,"Master's Degree",0,1,0,"sha",0
"268","ilshi",4,26,"96;480",32,1,"Master's Degree",0,1,0,"shi",0
"269","ilswi",3,15,"96;480",32,1,"Master's Degree",0,1,0,"swi",0
"270","nfrub",3,16,"96;480",32,1,"Master's Degree",1,0,0,"rub",1
"271","cfaqu",5,20,"96;481",49,1,"Bachelor's Degree",0,0,1,"aqu",1
"272","cfbur",5,32,"96;481",49,1,"Bachelor's Degree",0,0,1,"bur",1
"273","cfrub",6,7,"96;481",49,1,"Bachelor's Degree",0,0,1,"rub",1
"274","cibox",5,12,"96;481",49,1,"Bachelor's Degree",0,1,1,"box",1
"275","cibur",5,23,"96;481",49,1,"Bachelor's Degree",0,1,1,"bur",1
"276","cispe",5,27,"96;481",49,1,"Bachelor's Degree",0,1,1,"spe",1
"277","fkaqu",6,29,"96;481",49,1,"Bachelor's Degree",1,0,0,"aqu",1
"278","fkboa",6,11,"96;481",49,1,"Bachelor's Degree",1,0,0,"boa",1
"279","fkbox",5,22,"96;481",49,1,"Bachelor's Degree",1,0,0,"box",1
"280","fkbur",5,14,"96;481",49,1,"Bachelor's Degree",1,0,0,"bur",1
"281","fkcar",4,30,"96;481",49,1,"Bachelor's Degree",1,0,0,"car",1
"282","fkspe",6,9,"96;481",49,1,"Bachelor's Degree",1,0,0,"spe",1
"283","fkswi",5,25,"96;481",49,1,"Bachelor's Degree",1,0,0,"swi",1
"284","flboa",7,2,"96;481",49,1,"Bachelor's Degree",0,0,0,"boa",0
"285","flcar",3,21,"96;481",49,1,"Bachelor's Degree",0,0,0,"car",0
"286","flche",4,4,"96;481",49,1,"Bachelor's Degree",0,0,0,"che",0
"287","flsha",5,28,"96;481",49,1,"Bachelor's Degree",0,0,0,"sha",0
"288","flswi",5,6,"96;481",49,1,"Bachelor's Degree",0,0,0,"swi",0
"289","ikbox",5,3,"96;481",49,1,"Bachelor's Degree",1,1,0,"box",1
"290","ikbur",5,5,"96;481",49,1,"Bachelor's Degree",1,1,0,"bur",1
"291","ikpon",2,1,"96;481",49,1,"Bachelor's Degree",1,1,0,"pon",1
"292","ikshi",6,17,"96;481",49,1,"Bachelor's Degree",1,1,0,"shi",1
"293","ikspe",5,19,"96;481",49,1,"Bachelor's Degree",1,1,0,"spe",1
"294","ilbox",3,31,"96;481",49,1,"Bachelor's Degree",0,1,0,"box",0
"295","ilche",5,13,"96;481",49,1,"Bachelor's Degree",0,1,0,"che",0
"296","ilpon",5,10,"96;481",49,1,"Bachelor's Degree",0,1,0,"pon",0
"297","ilsha",3,18,"96;481",49,1,"Bachelor's Degree",0,1,0,"sha",0
"298","ilshi",5,26,"96;481",49,1,"Bachelor's Degree",0,1,0,"shi",0
"299","ilswi",5,15,"96;481",49,1,"Bachelor's Degree",0,1,0,"swi",0
"300","nfrub",5,16,"96;481",49,1,"Bachelor's Degree",1,0,0,"rub",1
"301","cfaqu",5,13,"96;497",44,0,"Some College",0,0,1,"aqu",1
"302","cfbur",5,1,"96;497",44,0,"Some College",0,0,1,"bur",1
"303","cfrub",5,26,"96;497",44,0,"Some College",0,0,1,"rub",1
"304","cibox",2,21,"96;497",44,0,"Some College",0,1,1,"box",1
"305","cibur",5,10,"96;497",44,0,"Some College",0,1,1,"bur",1
"306","cispe",2,6,"96;497",44,0,"Some College",0,1,1,"spe",1
"307","fkaqu",5,4,"96;497",44,0,"Some College",1,0,0,"aqu",1
"308","fkboa",4,22,"96;497",44,0,"Some College",1,0,0,"boa",1
"309","fkbox",5,11,"96;497",44,0,"Some College",1,0,0,"box",1
"310","fkbur",6,19,"96;497",44,0,"Some College",1,0,0,"bur",1
"311","fkcar",5,3,"96;497",44,0,"Some College",1,0,0,"car",1
"312","fkspe",1,24,"96;497",44,0,"Some College",1,0,0,"spe",1
"313","fkswi",5,8,"96;497",44,0,"Some College",1,0,0,"swi",1
"314","flboa",7,31,"96;497",44,0,"Some College",0,0,0,"boa",0
"315","flcar",5,12,"96;497",44,0,"Some College",0,0,0,"car",0
"316","flche",7,29,"96;497",44,0,"Some College",0,0,0,"che",0
"317","flsha",5,5,"96;497",44,0,"Some College",0,0,0,"sha",0
"318","flswi",5,27,"96;497",44,0,"Some College",0,0,0,"swi",0
"319","ikbox",6,30,"96;497",44,0,"Some College",1,1,0,"box",1
"320","ikbur",2,28,"96;497",44,0,"Some College",1,1,0,"bur",1
"321","ikpon",1,32,"96;497",44,0,"Some College",1,1,0,"pon",1
"322","ikshi",4,16,"96;497",44,0,"Some College",1,1,0,"shi",1
"323","ikspe",2,14,"96;497",44,0,"Some College",1,1,0,"spe",1
"324","ilbox",5,2,"96;497",44,0,"Some College",0,1,0,"box",0
"325","ilche",6,20,"96;497",44,0,"Some College",0,1,0,"che",0
"326","ilpon",7,23,"96;497",44,0,"Some College",0,1,0,"pon",0
"327","ilsha",6,15,"96;497",44,0,"Some College",0,1,0,"sha",0
"328","ilshi",4,7,"96;497",44,0,"Some College",0,1,0,"shi",0
"329","ilswi",6,18,"96;497",44,0,"Some College",0,1,0,"swi",0
"330","nfrub",6,17,"96;497",44,0,"Some College",1,0,0,"rub",1
"331","cfaqu",6,31,"96;498",27,1,"High School Graduate",0,0,1,"aqu",1
"332","cfbur",6,2,"96;498",27,1,"High School Graduate",0,0,1,"bur",1
"333","cfrub",3,17,"96;498",27,1,"High School Graduate",0,0,1,"rub",1
"334","cibox",1,1,"96;498",27,1,"High School Graduate",0,1,1,"box",1
"335","cibur",5,29,"96;498",27,1,"High School Graduate",0,1,1,"bur",1
"336","cispe",3,24,"96;498",27,1,"High School Graduate",0,1,1,"spe",1
"337","fkaqu",6,4,"96;498",27,1,"High School Graduate",1,0,0,"aqu",1
"338","fkboa",7,21,"96;498",27,1,"High School Graduate",1,0,0,"boa",1
"339","fkbox",7,10,"96;498",27,1,"High School Graduate",1,0,0,"box",1
"340","fkbur",7,11,"96;498",27,1,"High School Graduate",1,0,0,"bur",1
"341","fkcar",7,6,"96;498",27,1,"High School Graduate",1,0,0,"car",1
